csv_no,json_file,json_source,field,status,score,csv_value,json_value
1,1. Lee & Lee. (2025). An Extended Dataset of Educational Quality Across.json,json,year,agree,1.0,2025,2025
1,1. Lee & Lee. (2025). An Extended Dataset of Educational Quality Across.json,json,title,agree,1.0,An Extended Dataset of Educational Quality Across Countries (1970–2023),An Extended Dataset of Educational Quality Across Countries (1970–2023)
1,1. Lee & Lee. (2025). An Extended Dataset of Educational Quality Across.json,json,authors,agree,1.0,lee,lee
1,1. Lee & Lee. (2025). An Extended Dataset of Educational Quality Across.json,json,ilsa_assessment,agree,1.0,"iea,pisa,timss","iea,pisa,timss"
1,1. Lee & Lee. (2025). An Extended Dataset of Educational Quality Across.json,json,ml_methods,agree,0.85,"lasso,neural network",lasso
1,1. Lee & Lee. (2025). An Extended Dataset of Educational Quality Across.json,json,software,missing,,NA,r
1,1. Lee & Lee. (2025). An Extended Dataset of Educational Quality Across.json,json,countries,partial,0.5,101 countries,usa
1,1. Lee & Lee. (2025). An Extended Dataset of Educational Quality Across.json,json,dependent_outcome,partial,0.28,Educational test scores (harmonized achievement) — Tscore values predicted by interpolation and LASSO models. Explicitly stating this would improve clarity.,Literature synthesis outcome (not student-level prediction)
1,1. Lee & Lee. (2025). An Extended Dataset of Educational Quality Across.json,json,journal_venue,agree,1.0,Data,Data
2,2. Zhu et al. (2025). Predictive insights into U.S. students’ mathematics.json,json,year,agree,1.0,2025,2025
2,2. Zhu et al. (2025). Predictive insights into U.S. students’ mathematics.json,json,title,agree,0.996,Predictive insights into U.S. students’ mathematics performance on PISA 2022 using ensemble tree-based machine learning model,Predictive insights into U.S. students’ mathematics performance on PISA 2022 using ensemble tree-based machine learning models
2,2. Zhu et al. (2025). Predictive insights into U.S. students’ mathematics.json,json,authors,partial,0.6,"fang,hongc,you,zhu","fang,hong,you,zhu"
2,2. Zhu et al. (2025). Predictive insights into U.S. students’ mathematics.json,json,ilsa_assessment,agree,1.0,pisa,pisa
2,2. Zhu et al. (2025). Predictive insights into U.S. students’ mathematics.json,json,ml_methods,agree,0.85,"gradient boosting,lightgbm,neural network,random forest,xgboost","gradient boosting,lightgbm,random forest,xgboost"
2,2. Zhu et al. (2025). Predictive insights into U.S. students’ mathematics.json,json,software,disagree,0.25,"R (randomForest, xgboost, and lightgbm)",r
2,2. Zhu et al. (2025). Predictive insights into U.S. students’ mathematics.json,json,countries,agree,1.0,US,usa
