doi,variable_code,variable_name,category,source_category,predictor_level,predictor_category
10.21031/epod.1525454,ST218Q01HA,Item1 intercultural awareness,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.21031/epod.1525454,ST218Q02HA,Item2 intercultural awareness,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.21031/epod.1525454,ST218Q04HA,Item4 intercultural awareness,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.21031/epod.1525454,ST218Q05HA,Item5 intercultural awareness,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.21031/epod.1525454,ST218Q06HA,Item6 intercultural awareness,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.21031/epod.1525454,ST218Q07HA,Item7 intercultural awareness,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s11336-020-09743-0,age,Age,demographic,peer_reviewed_research,Student Level,Student: Demographic
10.1007/s11336-020-09743-0,PSTRE_PV,PSTRE plausible values,prior_achievement,peer_reviewed_research,Student Level,Student: Prior Achievement
10.1111/bmsp.12203,process_sequence_length,Sequence length (log),process_data,peer_reviewed_research,Student Level,Student: Process Data
10.1111/bmsp.12203,attentiveness_feature,Attentiveness feature,process_data,peer_reviewed_research,Student Level,Student: Process Data
10.1111/bmsp.12203,gender,Gender,demographic,peer_reviewed_research,Student Level,Student: Demographic
10.1111/bmsp.12203,age,Age,demographic,peer_reviewed_research,Student Level,Student: Demographic
10.1111/bmsp.12203,literacy_score,Literacy score,prior_achievement,peer_reviewed_research,Student Level,Student: Prior Achievement
10.1111/bmsp.12203,numeracy_score,Numeracy score,prior_achievement,peer_reviewed_research,Student Level,Student: Prior Achievement
10.3389/fpsyg.2021.579128,response_accuracy,Response accuracy (graded responses),prior_achievement,peer_reviewed_research,Student Level,Student: Prior Achievement
10.3389/fpsyg.2021.579128,time_on_task,Time-on-task (response times),process_data,peer_reviewed_research,Student Level,Student: Process Data
10.3389/fpsyg.2021.579128,country,Country/economy,system_level,peer_reviewed_research,System/Country Level,System: Policy/Context
10.3389/feduc.2020.00149,human_score,Human rater score,prior_achievement,peer_reviewed_research,Student Level,Student: Prior Achievement
10.3389/feduc.2020.00149,irt_expected_score,IRT-expected score (MAP),prior_achievement,peer_reviewed_research,Student Level,Student: Prior Achievement
10.3389/feduc.2020.00149,item_difficulty,Item difficulty level,curriculum,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1007/s10639-024-12580-8,Gender,Gender,demographic,peer_reviewed_research,Student Level,Student: Demographic
10.1007/s10639-024-12580-8,ESCS,Socioeconomic status (ESCS),socioeconomic,peer_reviewed_research,Student Level,Student: SES
10.1007/s10639-024-12580-8,DISCLIMA,Disciplinary climate,peer_effects,peer_reviewed_research,School/Teacher Level,School/Teacher: Context
10.1007/s10639-024-12580-8,SBHL,behavior hindering learning,student_behavior,peer_reviewed_research,Student Level,Student: Attitudinal/Behavioral
10.1007/s10639-024-12580-8,TEACHSUP,Teacher support,teacher,peer_reviewed_research,School/Teacher Level,School/Teacher: Practice
10.1007/s10639-024-12580-8,DIRINS,Teacher-directed instruction,teacher,peer_reviewed_research,School/Teacher Level,School/Teacher: Practice
10.1007/s10639-024-12580-8,PERFEED,Teacher feedback,teacher,peer_reviewed_research,School/Teacher Level,School/Teacher: Practice
10.1007/s10639-024-12580-8,STIMREAD,Reading engagement stimulation,teacher,peer_reviewed_research,School/Teacher Level,School/Teacher: Practice
